100	2	36	55	38	63	14	49	75	99
74	33	43	88	37	37	41	27	4	31
64	90	95	53	43	53	14	2	49	88
7	33	20	27	76	6	25	99	41	49
72	67	53	4	39	95	35	49	53	51
33	2	79	43	22	11	41	47	64	1
81	73	96	41	74	10	79	44	45	95
39	13	31	21	16	71	60	81	54	6
43	73	65	35	73	83	43	20	30	32
21	55	45	21	93	41	89	79	60	53
28	33	64	1	6	32	21	58	31	39
6	14	50	72	77	38	12	85	72	22
37	53	69	43	9	90	67	48	54	21
89	48	85	32	24	21	24	35	9	25
97	78	40	83	53	50	34	20	30	18
20	63	94	6	35	48	82	59	89	84
68	85	35	49	73	89	73	30	14	76
83	72	26	76	45	8	87	53	88	79
17	13	57	43	82	16	22	100	32	11
61	53	72	22	41	73	17	17	37	57
34	21	67	26	18	75	69	4	83	31
75	6	98	24	39	49	82	17	54	49
26	59	3	69	83	57	74	68	45	22
58	44	4	14	12	8	71	17	25	98
58	18	43	28	12	35	37	11	22	31
20	17	8	55	81	20	32	41	82	4
79	95	37	31	92	15	46	99	62	96
6	90	54	74	86	68	93	16	51	11
67	86	14	47	100	99	41	39	22	39
39	76	47	39	48	10	11	93	19	13
80	55	72	40	75	6	84	13	27	25
10	54	100	26	92	73	43	41	35	54
34	8	26	28	84	34	54	2	12	48
13	7	9	72	86	53	71	86	34	57
8	13	3	37	16	100	15	28	60	82
64	36	77	41	66	62	76	19	36	16
54	24	79	63	36	24	40	76	59	32
71	17	98	61	65	95	88	71	14	6
74	50	2	42	74	49	54	71	53	88
12	37	20	24	80	43	59	79	34	49
97	58	55	79	18	22	24	53	66	66
65	14	56	29	59	88	24	86	40	23
19	95	75	80	19	91	50	77	18	51
94	20	24	70	85	100	24	3	48	15
73	97	92	89	17	73	21	39	85	79
1	85	28	99	93	51	66	33	47	77
70	95	80	42	20	6	77	26	79	6
61	75	25	64	2	20	69	79	96	6
50	55	64	16	9	72	70	32	20	49
84	85	30	45	78	1	55	5	45	3
